id,Name,Date,Long,Lat
0,spider,2000-1-1,120.373659,22.727152
1,spider,2000-4-1,120.5,22.6
2,spider,2000-7-1,120.5,22.6
3,spider,2000-10-1,120.5,22.6
4,spider,2001-1-1,121.02528000000001,22.322624
5,spider,2001-4-1,120.695093,23.503085
6,spider,2001-7-1,120.695093,23.503085
7,spider,2001-10-1,120.695093,23.503085
8,spider,2002-1-1,120.695093,23.503085
9,spider,2002-4-1,120.695093,23.503085
10,spider,2002-7-1,120.695093,23.503085
11,spider,2002-10-1,120.695093,23.503085
12,spider,2003-1-1,120.695093,23.503085
13,spider,2003-4-1,120.436183,22.833092
14,spider,2003-7-1,121.509682,22.057739
15,spider,2003-10-1,121.509682,22.057739
16,spider,2004-1-1,121.509682,22.057739
17,spider,2004-4-1,121.509682,22.057739
18,spider,2004-7-1,121.509682,22.057739
19,spider,2004-10-1,120.781946,24.175416
20,spider,2005-1-1,120.781946,24.175416
21,spider,2005-4-1,120.781946,24.175416
22,spider,2005-7-1,121.31534900000001,24.356623
23,spider,2005-10-1,121.31534900000001,24.356623
24,spider,2006-1-1,121.31534900000001,24.356623
25,spider,2006-4-1,121.31534900000001,24.356623
26,spider,2006-7-1,120.57135699999999,23.336430166666663
27,spider,2006-10-1,120.93600705555556,24.23067477777778
28,spider,2007-1-1,120.74824779999999,23.963350400000003
29,spider,2007-4-1,120.68802825,23.817777500000002
30,spider,2007-7-1,121.00816703571427,23.985712678571428
31,spider,2007-10-1,120.78360024999999,23.767118
32,spider,2008-1-1,120.59793049999999,23.8035865
33,spider,2008-4-1,120.80852042857143,23.932356428571428
34,spider,2008-7-1,120.895657875,24.146218624999996
35,spider,2008-10-1,120.63427449999999,23.19465375
36,spider,2009-1-1,120.99772316666667,23.5802735
37,spider,2009-4-1,120.82724522222222,23.466172
38,spider,2009-7-1,121.31355075771606,24.623271655864198
39,spider,2009-10-1,120.91125430714284,23.8761035
40,spider,2010-1-1,120.96344260202018,23.918927886868687
41,spider,2010-4-1,121.0153463015873,24.207294485714282
42,spider,2010-7-1,121.16342371574073,24.320201949537037
43,spider,2010-10-1,121.06134871428571,24.190441571428575
44,spider,2011-1-1,120.8654627,23.7605218
45,spider,2011-4-1,121.00569978571428,23.758061626623377
46,spider,2011-7-1,121.01828821212122,23.963773417748918
47,spider,2011-10-1,120.91133346666668,23.988652155555556
48,spider,2012-1-1,121.05747776277056,24.20117240945166
49,spider,2012-4-1,121.05456352000002,24.056995833333332
50,spider,2012-7-1,121.08244811891893,24.18317883918919
51,spider,2012-10-1,121.02463385606062,23.932327234848486
52,spider,2013-1-1,121.03944384187574,23.861255108163558
53,spider,2013-4-1,121.04939518681738,23.89732210673256
54,spider,2013-7-1,121.09763675116724,24.033914617085173
55,spider,2013-10-1,121.0552918533956,24.034627641890598
56,spider,2014-1-1,121.0154301202404,24.000968105256394
57,spider,2014-4-1,121.06069096935926,24.01642782294087
58,spider,2014-7-1,121.11008994834236,24.195224639702676
59,spider,2014-10-1,121.01797023047668,24.025055226062715
60,spider,2015-1-1,121.09981449280316,24.02778810226156
61,spider,2015-4-1,121.1091058572304,24.29430844217729
62,spider,2015-7-1,121.1744624644039,24.282882044359717
63,spider,2015-10-1,121.02159602214796,24.078347986266742
64,spider,2016-1-1,121.01483188303621,23.958954096263646
65,spider,2016-4-1,121.10086397978591,24.139968476471406
66,spider,2016-7-1,120.98877895789474,24.01220169649123
67,spider,2016-10-1,121.0688216475,23.97351423222222
68,spider,2017-1-1,121.00026863595407,24.120665264458435
69,spider,2017-4-1,121.03546947826088,24.178022698257422
70,spider,2017-7-1,120.90724975555555,23.960535818055558
71,spider,2017-10-1,121.01581746965797,24.09157180773851
72,spider,2018-1-1,121.00219320308828,24.00383481974
73,spider,2018-4-1,121.03879569338869,24.073141517602007
74,spider,2018-7-1,121.06308107357233,24.073381169383012
75,spider,2018-10-1,120.98452170873624,24.10391119476706
76,spider,2019-1-1,120.90200872224324,23.885575961470646
77,spider,2019-4-1,120.92110753362735,23.99639706533395
78,spider,2019-7-1,121.07580324661608,24.209511836622394
79,spider,2019-10-1,121.02221843067912,23.979702743950124
80,spider,2020-1-1,120.97303605364122,23.88950313180436
81,spider,2020-4-1,121.10467139128028,24.153108956177434
82,spider,2020-7-1,121.09927639241667,24.26820119485714
83,spider,2020-10-1,121.02628300923288,23.99420759506154
84,spider,2021-1-1,121.00116891025392,24.016777788590325
85,spider,2021-4-1,121.10630665692683,24.15982062395459
86,spider,2021-7-1,121.00076135416666,24.343498854166665
87,spider,2021-10-1,121.00076135416666,24.343498854166665
